video_id,title,published_at,duration_sec,views,likes,comments,tags,category_id,definition,has_captions
wDRoduig_98,Installing and Setting up Git and GitHub,2025-09-02 12:01:51+00:00,434,28545,515,14,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
Rcpidz-jnZQ,SQL is King,2025-08-27 11:05:28+00:00,45,19396,861,21,,27,hd,False
QzvA7r-WndM,What is Git and GitHub?,2025-08-26 12:00:54+00:00,512,26940,788,19,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
yhlqKsYpzgE,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-21 14:09:29+00:00,3673,3390,129,11,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
kk5zEOQzTmQ,Data Visualization and Presentation in R | R for Data Analytics Series,2025-08-19 12:01:22+00:00,1264,5261,121,13,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
TP2OJuZhbIQ,Things I Learned as a Data Analyst p1,2025-08-15 11:46:04+00:00,38,15506,551,20,,27,hd,False
Mi8st3hyMH8,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-14 14:18:24+00:00,3967,3074,114,8,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
vAKs1-EEJ38,How to Remove Duplicates in an R Dataframe | R for Data Analytics Series,2025-08-12 12:01:49+00:00,488,3014,76,3,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
-Z2KjOUcvTA,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-08-07 14:31:54+00:00,3944,3238,112,19,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
v5jasYkmwZI,Standardizing and Parsing Dates in R  using Lubridate | R for Data Analytics Series,2025-08-05 12:01:44+00:00,506,2256,54,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
kqhJff8ruKw,Traditional applying to jobs is dead.,2025-08-01 12:53:29+00:00,58,20938,847,30,,27,hd,False
QR8kxf925IQ,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-31 14:45:09+00:00,4211,3504,153,13,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
klKWFqsqFeI,Handling Missing Data in R | R for Data Analytics Series,2025-07-29 12:01:31+00:00,790,3190,78,7,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
XIWe4vCtHcY,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-24 14:06:55+00:00,3848,3862,140,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
PqCp1f0RIaU,Don’t jump into Power BI first,2025-07-23 12:47:30+00:00,48,515104,10091,129,,27,hd,False
0B-lz9VQkYs,Grouping and Aggregating Data in R | R for Data Analytics Series,2025-07-22 12:00:02+00:00,497,3046,56,5,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
_YG8b1g-QJA,Getting Buy-in is a very difficult skill to learn,2025-07-18 12:11:49+00:00,51,7551,227,6,,27,hd,False
UT_hTGge_wc,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17 14:41:40+00:00,4969,4663,202,14,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
A42T_b0gwF4,Filtering and Ordering Data in R | R for Data Analytics Series,2025-07-15 12:00:18+00:00,827,3997,80,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
8NfozskpBtY,If I got hired today here’s exactly what I would do!,2025-07-11 11:34:46+00:00,73,15437,819,10,,27,hd,False
